Color;Comment;Document group;Document name;Code;Beginning;End;Weight score;Segment;Modified by;Modified;Created by;Created;Area;Coverage %
●;Fault is trivial enough to be ignored;;conversation_19_annotatable;Absolving - ignore (user);15;16;0;"never mind, i'm sure we can improvise. It'll be fine. I also don't have a stand mixer, will a balloon whisk be OK instead
[conversation_id=PPmiUbC] [conversation.id=-NGWwzXP26ft0NfGpE_f] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 13:20:37;218;2,02
●;Fault is trivial enough to be ignored;;conversation_19_annotatable;Absolving - ignore (user);68;69;0;"Never mind, I just wondered. I think you're right though. Is this an everyday recipe or would it have been made for special occasions?
[conversation_id=PPmiUbC] [conversation.id=-NGX0ShJMRUcnLt4NepN] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 13:17:40;231;2,14
●;;;conversation_19_annotatable;Absolving - ignore (user);91;92;0;"Doesn't matter, the pictures are quite clear. Next step please.
[conversation_id=PPmiUbC] [conversation.id=-NGX2oOKoiuKfYahll00] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 13:22:54;160;1,48
●;;;conversation_29_annotatable;Absolving – acceptance (user);44;45;0;"ok, can you please tell me the history of the souffle recipe?
[conversation_id=7460a2a0] [conversation.id=-NKgsSHpYEKbPNNLNa86] [conversation.participant=user]";Anna_;17.07.25 19:06:08;Anna_;17.07.25 19:06:08;159;1,17
●;;;conversation_29_annotatable;Absolving – acceptance (user);59;60;0;"ok, what consistency should the paste be?
[conversation_id=7460a2a0] [conversation.id=-NKgtI8wrXmMcF49L29l] [conversation.participant=user]";Anna_;17.07.25 19:07:52;Anna_;17.07.25 19:07:52;139;1,02
●;;;conversation_24_annotatable;Absolving – acceptance (user);32;33;0;"ok no problem, can we move to step 2 please
[conversation_id=nRHLDUQ] [conversation.id=-NH4qFOPNHgTliDwIYap] [conversation.participant=user]";Anna_;17.07.25 18:17:11;Anna_;17.07.25 18:17:11;140;1,43
●;;;conversation_19_annotatable;Absolving – acceptance (user);15;16;0;"OK, never mind, i'm sure we can improvise. It'll be fine. I also don't have a stand mixer, will a balloon whisk be OK instead
[conversation_id=PPmiUbC] [conversation.id=-NGWwzXP26ft0NfGpE_f] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 13:20:30;222;2,06
●;;;conversation_15_annotatable;Absolving – acceptance (user);50;51;0;"that's okay
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YLDgtm-o8aQwDaVUx] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 12:28:53;125;0,94
●;;;conversation_15_annotatable;Absolving – acceptance (user);117;118;0;"that's okay :
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YPb4F5zOA5tRB5uDT] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 12:36:14;127;0,95
●;;;conversation_15_annotatable;Absolving – acceptance (user);127;128;0;"okay, no worries.
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YQ0xlhatFAid-mwte] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 12:40:57;131;0,98
●;;;conversation_14_annotatable;Absolving – acceptance (user);51;52;0;"That's okay!
[conversation_id=61489eae028bc2392c90af21] [conversation.id=-NAE_ZPcy9volAi8vWGI] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 12:18:52;126;2,19
●;;;conversation_13_annotatable;Absolving – acceptance (user);131;132;0;"ok thank you
[conversation_id=60c48655811ab33a8f77dd34] [conversation.id=-N9kHh4UN1236WcQ8Z-Z] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 12:10:02;126;0,98
●;;;conversation_12_annotatable;Absolving – acceptance (user);37;38;0;"okay no problem
[conversation_id=5f36cd2444884c0f7ff186f6] [conversation.id=-N9W6lPIoMc0zU3yMavy] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 11:47:01;129;1,16
●;;;conversation_12_annotatable;Absolving – acceptance (user);111;112;0;"okay
[conversation_id=5f36cd2444884c0f7ff186f6] [conversation.id=-N9W9qd4shual79_qQQQ] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 11:49:55;118;1,06
●;;;conversation_12_annotatable;Absolving – acceptance (user);126;127;0;"okay
[conversation_id=5f36cd2444884c0f7ff186f6] [conversation.id=-N9WAZPCaJFOrM2OOus5] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 11:52:11;118;1,06
●;;;conversation_6_annotatable;Absolving – acceptance (user);63;64;0;"I see.
[conversation_id=5c8d1bee1bb19f00019d519e] [conversation.id=-N4YUFGqyNdJUOSp1nqd] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;12.07.25 18:34:40;120;1,02
●;;;conversation_2_annotatable;Absolving – acceptance (user);60;61;0;"that is okay
[conversation_id=h8x8QLzyCx] [conversation.id=-NBg7S0OSTVo7E-HnD5k] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:53;User2;12.07.25 17:35:35;112;1,57
●;;;conversation_1_annotatable;Absolving – acceptance (user);70;71;0;"that is fine
[conversation_id=tcYis3RLgY] [conversation.id=-NBSPvqsi0SEceomos60] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:53;User2;12.07.25 17:10:07;112;0,70
●;;;conversation_24_annotatable;Absolving – denial (user);32;33;0;"no problem, can we move to step 2 please
[conversation_id=nRHLDUQ] [conversation.id=-NH4qFOPNHgTliDwIYap] [conversation.participant=user]";Anna_;17.07.25 18:17:35;Anna_;17.07.25 18:17:35;137;1,40
●;;;conversation_15_annotatable;Absolving – denial (user);127;128;0;"no worries.
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YQ0xlhatFAid-mwte] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 12:41:11;125;0,94
●;Denying reality of the offence;;conversation_12_annotatable;Absolving – denial (user);37;38;0;"no problem
[conversation_id=5f36cd2444884c0f7ff186f6] [conversation.id=-N9W6lPIoMc0zU3yMavy] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:52;User2;13.07.25 11:47:08;124;1,12
●;Denying the reality of the offence;;conversation_4_annotatable;Absolving – denial (user);100;101;0;"No problem. Thanks for all the information
[conversation_id=coe2XtNapn] [conversation.id=-NBXDrGbYJTiwL2I3c-U] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:53;User2;12.07.25 18:15:38;142;1,38
●;Denying reality of the offence;;conversation_1_annotatable;Absolving – denial (user);59;60;0;"no worries
[conversation_id=tcYis3RLgY] [conversation.id=-NBSPJiaIVXQenC-rcqd] [conversation.participant=user]";christineelsweiler;14.07.25 13:45:53;User2;12.07.25 17:05:56;110;0,69
●;;;conversation_28_annotatable;Acknowledge response (agent);80;81;0;"Ok great! Let's go to the next step
[conversation_id=68942e2a] [conversation.id=-NKcxJIwEI6ODLWifwy7] [conversation.participant=agent]";Anna_;27.07.25 19:54:54;Anna_;27.07.25 19:54:54;134;1,10
●;;;conversation_27_annotatable;Acknowledge response (agent);59;60;0;"ok great! Let's go to the next step
[conversation_id=2b71cb60] [conversation.id=-NKceyeyi3uMsyjhrbe9] [conversation.participant=agent]";Anna_;25.07.25 19:36:14;Anna_;25.07.25 19:36:14;134;1,88
●;;;conversation_24_annotatable;Acknowledge response (agent);15;16;0;"Awesome, thank you what is step 1
[conversation_id=nRHLDUQ] [conversation.id=-NH4ocNdzOqRIluhhrEB] [conversation.participant=user]";Anna_;27.07.25 19:43:41;Anna_;27.07.25 19:43:41;130;1,32
●;;;conversation_19_annotatable;Acknowledge response (agent);89;90;0;"Yes, you're right! I do not have videos for this recipe, I'm sorry.
[conversation_id=PPmiUbC] [conversation.id=-NGX2fq5NEdHLg_mzIqz] [conversation.participant=agent]";Anna_;25.07.25 19:25:12;Anna_;25.07.25 19:25:12;165;1,53
●;;;conversation_18_annotatable;Acknowledge response (agent);17;18;0;"it looks nice thank you
[conversation_id=LFiNVaQ] [conversation.id=-NGLfWn7N966VsiAB3Qa] [conversation.participant=user]";Anna_;27.07.25 19:25:12;Anna_;27.07.25 19:25:12;120;1,25
●;;;conversation_15_annotatable;Acknowledge response (agent);29;30;0;"that's interesting!
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YJisxZRrYtDBCfwLL] [conversation.participant=user]";Anna_;27.07.25 19:22:42;Anna_;27.07.25 19:22:42;133;1,00
●;;;conversation_15_annotatable;Acknowledge response (agent);35;36;0;"Thank you
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YKFEkiBd94IyLaZgL] [conversation.participant=user]";Anna_;27.07.25 19:22:52;Anna_;27.07.25 19:22:52;123;0,92
●;;;conversation_15_annotatable;Acknowledge response (agent);39;40;0;"Thank you
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YKe0n2hPGdzdScIAq] [conversation.participant=user]";Anna_;27.07.25 19:22:55;Anna_;27.07.25 19:22:55;123;0,92
●;;;conversation_15_annotatable;Acknowledge response (agent);60;61;0;"that's very helpful, thank you.
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YLpGIWdgMnEVpZQD8] [conversation.participant=user]";Anna_;27.07.25 19:23:02;Anna_;27.07.25 19:23:02;145;1,09
●;;;conversation_15_annotatable;Acknowledge response (agent);66;67;0;"I like a flaky crust, so I will definitely do this
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YM4vqzqHv0h13NM_y] [conversation.participant=user]";Anna_;27.07.25 19:23:09;Anna_;27.07.25 19:23:09;164;1,23
●;;;conversation_15_annotatable;Acknowledge response (agent);81;82;0;"thank you!
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YMpzxOtOdoI17Xy0u] [conversation.participant=user]";Anna_;27.07.25 19:23:47;Anna_;27.07.25 19:23:47;124;0,93
●;;;conversation_15_annotatable;Acknowledge response (agent);89;90;0;"thank you, that's very informative
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YNXogFqk5wCXemo1N] [conversation.participant=user]";Anna_;27.07.25 19:23:53;Anna_;27.07.25 19:23:53;148;1,11
●;;;conversation_15_annotatable;Acknowledge response (agent);100;101;0;"Thank you! I am ready to move on now
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YOCfnAGV-xTi2tF0-] [conversation.participant=user]";Anna_;27.07.25 19:24:01;Anna_;27.07.25 19:24:01;150;1,12
●;;;conversation_4_annotatable;Acknowledge response (agent);86;87;0;"Thank you, that is helpful. It is much easier to find Parmigianio-Reggiano as this is most popular. Can you tell me more about the Southern recipe variations that use sun-dried peppers and tomatoes? You mentioned that they sometimes use almonds instead of pine nuts, why is that and how does this change the taste?
[conversation_id=coe2XtNapn] [conversation.id=-NBXBcq5r2ZFM592T56m] [conversation.participant=user]";Anna_;27.07.25 19:06:39;Anna_;27.07.25 19:06:39;414;4,03
●;;;conversation_29_annotatable;Acknowledge response (user);27;28;0;"Thankyou
[conversation_id=7460a2a0] [conversation.id=-NKgrdEeE2u50bOztdqq] [conversation.participant=user]";Anna_;27.07.25 19:57:39;Anna_;27.07.25 19:57:39;106;0,78
